109.4	182.5	81.02	18030
109.1	187.9	67.5	12150
108.7	193.3	53.74	7490
108.3	198.5	41.17	4280
108	203.5	30.69	2320
107.6	208	22.23	1191
107.2	212.1	15.21	547
106.9	215.6	8.93	185.4
106.5	218.5	3.089	21.9
106.1	220.5	-1.539	5.388
105.8	221.7	-4.401	43.8
105.4	221.8	-4.723	50.41
105	220.9	-2.702	16.57
104.7	219	0.7086	1.15
104.3	216.2	3.994	37
103.9	212.6	6.276	92.88
103.6	208.4	6.614	105.2
103.2	203.7	5.154	65.36
102.8	198.8	2.54	16.27
102.5	193.6	-0.2483	0.1597
102.1	188.3	-2.554	17.36
101.7	183.1	-4.584	57.53
101.4	178.1	-6.528	120
101	173.4	-8.539	210.8
100.6	169.2	-10.4	320.5
100.3	165.5	-11.43	395.8
99.88	162.6	-10.04	310.9
99.52	160.4	-6.133	117.6
99.15	158.9	-0.1932	0.1178
98.78	157.9	5.593	99.34
98.41	157.3	8.834	248.7
98.04	157.2	8.98	257.3
97.67	157.2	6.245	124.4
97.3	157.4	1.346	5.769
96.93	157.7	-3.441	37.65
96.56	158	-5.571	98.51
96.19	158.3	-5.03	80.15
95.82	158.6	-2.39	18.06
95.45	159.1	0.8321	2.181
95.08	159.9	2.941	27.12
94.71	161	3.131	30.51
94.34	162.6	1.309	5.281
93.97	164.5	-1.486	6.735
93.6	166.8	-3.228	31.34
93.23	169.4	-2.787	22.98
92.86	172.3	-0.9965	2.889
92.49	175.5	1.405	5.643
92.12	178.8	3.459	33.54
91.74	182.1	4.282	50.46
91.37	185.5	3.719	37.38
91	188.7	2.427	15.64
90.63	191.9	1.044	2.848
90.26	195	-0.3393	0.296
89.89	197.9	-1.705	7.365
89.51	200.7	-3.063	23.44
89.14	203.3	-4.186	43.22
88.77	205.7	-4.815	56.5
88.4	207.9	-4.445	47.65
88.02	209.8	-3.093	22.85
87.65	211.6	-1.059	2.657
87.28	213.2	1.111	2.901
86.91	214.6	2.902	19.67
86.53	215.8	4.098	39.01
86.16	216.9	4.731	51.74
85.79	217.8	4.957	56.55
85.41	218.6	5.136	60.5
85.04	219.2	5.258	63.23
84.66	219.7	4.893	54.64
84.29	220	3.797	32.85
83.92	220.2	1.891	8.143
83.54	220.3	-0.788	1.413
83.17	220.3	-3.486	27.65
82.79	220.2	-5.404	66.48
82.42	220.1	-6.035	82.95
82.05	219.9	-5.148	60.41
81.67	219.7	-3.015	20.74
81.3	219.5	-0.4661	0.4963
80.92	219.3	1.996	9.107
80.55	219	3.983	36.32
80.17	218.7	5.394	66.67
79.8	218.5	6.295	90.92
79.42	218.3	6.734	104.1
79.04	218	6.66	102
78.67	217.8	6.193	88.25
78.29	217.7	5.315	65.07
77.92	217.5	4.155	39.79
77.54	217.3	2.988	20.6
77.16	217.2	1.854	7.936
76.79	217	0.6746	1.051
76.41	216.9	-0.6476	0.9692
76.03	216.8	-2.143	10.62
75.66	216.6	-3.739	32.35
75.28	216.5	-5.12	60.72
74.9	216.3	-6.153	87.73
74.53	216.2	-6.637	102.2
74.15	216	-6.547	99.49
73.77	215.8	-6.037	84.66
73.4	215.6	-5.386	67.44
73.02	215.4	-4.658	50.5
72.64	215.2	-3.996	37.19
72.26	215	-3.43	27.43
71.88	214.8	-2.916	19.85
71.51	214.6	-2.333	12.72
71.13	214.4	-1.66	6.443
70.75	214.2	-0.8292	1.609
70.37	214	0.1453	0.04948
69.99	213.8	1.252	3.676
69.61	213.6	2.452	14.11
69.24	213.3	3.645	31.22
68.85	213.1	4.706	52.1
68.48	212.9	5.582	73.36
68.1	212.7	6.174	89.85
67.72	212.5	6.36	95.42
67.34	212.3	6.207	90.98
66.96	212.1	5.869	81.41
66.58	212	5.358	67.91
66.2	211.8	4.768	53.8
65.82	211.7	4.194	41.66
65.44	211.6	3.553	29.92
65.06	211.5	2.723	17.57
64.68	211.4	1.648	6.437
64.3	211.4	0.3013	0.2152
63.92	211.5	-1.208	3.462
63.54	211.5	-2.682	17.04
63.15	211.6	-3.944	36.84
62.77	211.8	-4.763	53.69
62.39	212	-4.989	58.85
62.01	212.3	-4.74	53.05
61.63	212.7	-4.126	40.13
61.25	213.1	-3.242	24.73
60.87	213.5	-2.307	12.5
60.48	214	-1.462	5.009
60.1	214.6	-0.7153	1.195
59.72	215.2	-0.06427	0.009622
59.34	215.9	0.5022	0.5855
58.96	216.6	1.001	2.318
58.57	217.4	1.479	5.041
58.19	218.3	1.962	8.838
57.81	219.2	2.357	12.71
57.43	220.2	2.581	15.17
57.04	221.2	2.583	15.12
56.66	222.3	2.295	11.88
56.28	223.4	1.69	6.405
55.89	224.6	0.8609	1.654
55.51	225.9	-0.0518	0.005956
55.13	227.2	-0.8771	1.698
54.74	228.5	-1.41	4.364
